"id","user_id","created_at","updated_at","date","coordinate_id"
199,7,"2017-08-12 02:57:04","2017-08-13 06:52:04","2017-08-12",10
200,7,"2017-08-13 06:52:33","2017-08-14 12:55:54","2017-08-14",12
201,7,"2017-08-13 06:52:49","2017-08-13 07:43:54","2017-08-15",11
202,7,"2017-08-13 06:52:56","2017-08-16 23:50:16","2017-08-16",13
203,7,"2017-08-13 06:53:13","2017-08-16 23:55:05","2017-08-17",14
204,7,"2017-08-17 13:52:05","2017-08-20 12:57:43","2017-08-18",15
205,7,"2017-08-19 06:27:29","2017-08-19 06:27:29","2017-08-19",NULL
206,7,"2017-08-20 12:53:43","2017-08-20 13:03:31","2017-08-21",17
207,7,"2017-08-20 12:53:47","2017-08-20 13:00:46","2017-08-22",16
208,7,"2017-08-20 12:53:51","2017-08-20 12:58:26","2017-08-23",6
210,7,"2017-08-23 15:11:40","2017-08-24 13:46:31","2017-08-24",18
211,7,"2017-08-24 13:46:13","2017-08-24 14:47:22","2017-08-25",19
212,7,"2017-08-29 11:47:24","2017-08-30 12:30:26","2017-08-31",188
213,7,"2017-08-29 11:53:44","2017-08-29 11:53:44","2017-08-30",NULL
214,7,"2017-08-29 12:06:19","2017-08-31 13:07:09","2017-09-01",189
215,7,"2017-08-29 13:45:11","2017-09-02 07:46:26","2017-09-02",1
216,7,"2017-09-02 13:49:36","2017-09-02 13:49:36","2017-09-03",NULL
