id,"created_at","updated_at","date"
206,"2017-08-20 12:53:43","2017-08-20 13:03:31","2017-08-21"
207,"2017-08-20 12:53:47","2017-08-20 13:00:46","2017-08-22"
208,"2017-08-20 12:53:51","2017-08-20 12:58:26","2017-08-23"
210,"2017-08-23 15:11:40","2017-08-24 13:46:31","2017-08-24"
211,"2017-08-24 13:46:13","2017-08-24 14:47:22","2017-08-25"
212,"2017-08-29 11:47:24","2017-08-30 12:30:26","2017-08-31"
213,"2017-08-29 11:53:44","2017-08-29 11:53:44","2017-08-30"
214,"2017-08-29 12:06:19","2017-08-31 13:07:09","2017-09-01"
215,"2017-08-29 13:45:11","2017-09-02 07:46:26","2017-09-02"
216,"2017-09-02 13:49:36","2017-09-02 13:49:36","2017-09-03"
217,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-04"
218,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-05"
219,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-06"
220,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-07"
221,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-08"
222,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-09"
223,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-10"
224,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-11"
225,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-12"
226,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-13"
227,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-14"
228,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-15"
229,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-16"
230,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-17"
231,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-18"
232,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-19"
233,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-20"
234,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-21"
235,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-22"
236,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-23"
237,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-24"
238,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-25"
239,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-26"
240,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-27"
241,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-28"
242,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-29"
243,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-09-30"
244,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-01"
245,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-02"
246,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-03"
247,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-04"
248,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-05"
249,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-06"
250,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-07"
251,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-08"
252,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-09"
253,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-10"
254,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-11"
255,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-12"
256,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-13"
257,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-14"
258,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-15"
259,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-16"
260,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-17"
261,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-18"
262,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-19"
263,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-20"
264,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-21"
265,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-22"
266,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-23"
267,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-24"
268,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-25"
269,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-26"
270,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-27"
271,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-28"
272,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-29"
273,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-30"
